Textid,ChnText,EngText,Chn_Sentiment,Eng_Sentiment
11,叶文洁不知道，就在这时，地球文明向太空发出的第一声能够被听到的啼鸣，已经以太阳为中心，以光速飞向整个宇宙。恒星级功率的强劲电波，如磅礴的海潮，此时已越过了木星轨道。,"Ye didn’t know that at that moment, the first cry that could be heard in space from civilization on Earth was already spreading out from the sun to the universe at the speed of light. A star-powered radio wave, like a majestic tide, had already crossed the orbit of Jupiter.",1,1
12,这时，在12000兆赫波段上，太阳是银河系中最亮的一颗星。,"Right then, at the frequency of 12,000 MHz, the sun was the brightest star in the entire Milky Way.",0,0
13,我是个小人物，生活在社会最底层，没有人会注意到我，孤独一生，没有地位没有爱情，也没有希望。,"I’m an ordinary man living at the bottom of society. No one would pay any attention to me. My life is spent alone, without wealth, without status, without love, and without hope.",-1,-1
14,如果我能够拯救一个自己爱上的遥远的美丽世界，那这一辈子至少没有白活。," If I can save a distant, beautiful world that I have fallen in love with, then my life has not been wasted.",1,1
15,站在这闪烁的苍穹下，汪淼突然感到宇宙是这么小，小得仅将他一人禁锢于其中。宇宙是一个狭小的心脏或子宫，这弥漫的红光是充满于其中的半透明的血夜，他悬浮于血液中，红光的闪烁周期是不规则的，像是这心脏或子宫不规则地脉动，他从中感受到了一个以人类的智慧永远无法理解的怪异、变态的巨大存在。,"Standing under the flashing dome of the night sky, Wang suddenly felt the universe shrink until it was so small that only he was imprisoned in it. The universe was a cramped heart, and the red light that suffused everything was the translucent blood that filled the organ. Suspended in the blood, he saw that the flickering of the red light was not periodic—the pulsing was irregular. He felt a strange, perverse, immense presence that could never be understood by human intellect.",-1,-1
16,一切都沉寂下来，只有天线在风中发出的混响依旧。叶文洁看着夜空中的鸟群纷纷落回森林中。她再次仰望天线，感觉它像一只向苍穹张开的巨大手掌，拥有一种超凡脱俗的力量。,"All was silent except for the howl of the wind against the antenna. Ye watched as the remaining birds in the flock gradually settled back into the forest. She stared at the antenna and thought it looked like an enormous hand stretched open toward the sky, possessing an ethereal strength.",0,0
17,她向“手掌”对着的夜空看去，并没有看到已被它打击的BN20197F号目标，在稀疏的云缕后面，只有1969年寒冷的星空。,"As she surveyed the night sky, she did not see any target that she thought might be serial number BN20197F. Beyond the wisps of clouds, all she could see were the stars of a cold night in 1969.
",-1,-1
18,汪淼在想象中把那个萦绕在他脑海中的身影叠印到画面上，让她位于山谷的深处，看上去很小很小；这时汪淼惊奇地发现，整个画面苏醒过来，仿佛照片中的世界认出了那个身影，仿佛这一切本来就是为她而存在。,"In his imagination, Wang placed the figure that lingered in his mind at the far end of the valley. Surprisingly, it made the entire scene come alive, as though the world in the photograph recognized that tiny figure and responded to it, as though the whole scene existed for her.",0,0
19,他又依次在想象中将那个身影叠印到另外几幅作品上，有时还将她那双眼睛作为照片上空旷苍穹的背景，那些画面也都苏醒过来，展现出一种汪淼从未想象过的美,"He then imagined her figure in each of his other photographs, sometimes pasting her two eyes into the empty sky over the landscapes. Those images also came alive, achieving a beauty that Wang had never imagined.
",1,1
20,以前，汪淼总觉得自己的摄影作品缺少某种灵魂；现在他知道了，缺的是她。,"Wang had always thought that his photographs lacked some kind of soul. Now he understood that they were missing her.
",-1,-1
21,晴天霹雳，汪淼的大脑一片空白。后来这空白中渐渐有了图像，那是他那些黑白风景照片，照片中的大地没有了她的身影，天空抹去了她的眼睛，那些世界死了。,"Wang was thunderstruck. Gradually, his black-and-white landscapes faded into blankness in his mind. The photographs no longer had her figure in the foreground, and her eyes were wiped from the skies. Those worlds were all dead.",-1,-1
22,“她像一颗星星，总是那么遥远，照到我身上的光也总是冷的。”丁仪走到窗前看着夜空，像在寻找那颗已逝去的星辰。,"“She was like a star, always so distant. Even the light she shone on me was always cold.” Ding walked to one of the windows and looked up at the night sky.",-1,0
23,汪淼绝望地抓起那堆胶卷，像抓着一团纠缠在一起的蛇，又像一团难以挣脱的绞索。,"Desperate, Wang picked up the pile of film rolls, like a tangled nest of snakes, like a bunch of ropes tied into an impossible knot.",-1,-1
24,荒原依旧，但V装具感应服中的压缩机咝咝地启动了，汪淼感到一股逼人的寒气。前方出现了两个行走的人影，在曙光的背景前呈黑色的剪影。,"The plain remained desolate, but now the compressors in the V-suit whirred to life, and Wang could feel gusts of cold air against his body. Before him appeared two walking figures, forming dark silhouettes against the dawn light.",-1,-1
25,周文王和追随者面面相觑，然后一起盯着汪森，好像他是个白痴，“太阳?看太阳怎么能知道时间? 这可是乱纪元。,"King Wen and Follower stared at each other, and then turned as one to gaze at Wang, as though he was an idiot. “The sun? How can the sun tell us the time? We’re in the midst of a Chaotic Era.”
",-1,-1
26,岩石的阴影在渐渐缩短，周围的大地像处于白炽状态般刺眼，脚下的冻土迅速融化，由坚硬如铁变成泥泞一片，热浪滚滚。,"The shadow cast by the rock gradually grew shorter and shorter. The earth around them glowed as though on fire. The permafrost beneath them soon melted, the steel-like hard surface turning into a sea of mud, roiled by waves of heat.",-1,-1
27,在落日的余晖中，汪淼看到追随者身上的汗水突然增加了，他很快知道那不是出汗，这人身体内的水分正在被彻底排出，这些水在沙地上形成了几条小小的溪流，追随者的整个躯体如一根熔化的蜡烛在变软变薄……," In the last glow from the sun, already below the horizon, Wang saw water oozing out of Follower’s body. He knew that it was no longer sweat. All the water in his body was being discharged and squeezed out. The water coalesced into a few small rivulets in the mud. His body turned soft and lost its shape like a melting candle.",0,0
28,周文王说着，将追随者变成的软皮拎起来，拍了拍上面的土，放到岩石上将他（它）卷起来，就像卷一只放了气的皮球一般，“在水里泡一会儿，他就会恢复原状活过来，就像泡干蘑菇那样。” ,"King Wen answered. He picked up Follower’s skin, brushed the mud and dust off, laid him out on the rock, and rolled him up like a balloon with its air let out. “He’ll recover soon enough, when we soak him in water. It’s just like soaking dried mushrooms.”",0,0
29,上方的窗口无规律地闪烁起来，不时有一束乱纪元的阳光射进大殿，有时很微弱，如月光一般；有时则十分强烈，投在地上的方形光斑白炽明亮，使所有的火炬黯然失色。," The opening through the ceiling flickered with random lights, and once in a while a ray of sunlight from the Chaotic Era shot into the Great Hall. Sometimes the light was weak, like moonlight. Sometimes the light was very strong, and the incandescent white square cast against the ground glowed so brightly that the torches in the Great Hall paled in comparison.
",0,0
30,汪淼的心中涌起一股暖流，双眼湿润了，他那颗两天来绷得紧紧的心脏像被放到了柔软的天鹅绒上。,"Wang accepted the box, warmth filling his chest. His eyes moistened. It was as though his heart, stressed almost beyond the breaking point by the last few days, had been placed onto a pile of soft down feathers.",1,1
31,在圣乐的庄严深远中，汪淼再次感到宇宙变小了，变成了一座空旷的教堂，穹顶隐没于背景辐射闪烁的红光中，而他则是这宏伟教堂地板砖缝中的一只小蚂蚁。,"As he listened to the solemn, sacred music, Wang Miao once again felt that the universe had shrunk until it was the size of an empty church. The domed ceiling was hidden by the flashing red light of the background radiation, and he was an ant crawling through the cracks in the floor.",0,0
32,‘红岸’可是与其他国防重点项目不同，它的复杂，是复杂在技术之外的。,but Red Coast is not like other national defense projects. Its complexity goes far beyond the technical issues,0,0
33,现在除了死后不知是否存在的另一个世界，她最想去的地方就是这样与世隔绝的峰顶了，在这里，她有一种久违的安全感。,"Other than the undiscovered country beyond death from which no one has ever returned, the place she wanted to be the most was this peak, separated from the rest of the world. Here, she felt a sense of security that had long eluded her.",1,1
34,你的无畏来源于无知。,Your lack of fear is based on your ignorance.,-1,-1
35,“还是扯淡，来，干！”,"“More bullshit. Come, drink!”",0,0
36,汪淼不知道自己是怎么回到自己的车上，躺在后座上陷入了无梦的沉睡，感觉时间并不长，但睁开眼睛后，看到太阳已在城市的西边快要落下去了,"Wang Miao had no idea how he got back into his car. He tumbled into the backseat and fell into a dreamless slumber. He didn’t think that he was asleep for long, but when he opened his eyes, the sun was already near the horizon in the west.

",0,0
37,去他妈的倒计时，你现在首先要保证站直了别趴下，然后才能说别的。,Fuck the countdown. Your first priority right now is to make sure you can stand straight and not collapse into a heap. Then we can talk about other things.,0,0
38,不，那天太阳出来了，升到了正空，但突然熄灭了。,"No, the sun rose that day as well. It rose to the middle of the sky, and then went out.",-1,-1
39,在那个位置出现了一颗飞星，像是太阳死后的灵魂。,"A flying star appeared in that location, like a soul left behind after the sun died.”",-1,-1
40,汪淼可以清晰地看到太阳表面的细节，火焰的海洋上布满涌浪和旋涡，黑子如幽灵般沿着无规则的路线漂浮，日冕  像金色的长袖懒洋洋地舒展着。," Wang could clearly make out the fine structures on the surface of the sun: eddies and surging waves filling the sea of flames; sunspots floating along random paths like ghosts; the corona lazily spreading out like golden sleeves.
",0,0
41,他发现工作是一种有效的麻醉剂，投身于其中，就暂时躲开了那噩梦般的困扰。," He found work to be an effective tranquilizer. As long as he was absorbed by it, he was no longer bothered by his nightmarish worries.",1,1
42,一走出纳米中心的大楼，汪淼又被那噩梦的感觉追上了，他觉得布满群星的夜空像一面覆盖一切的放大镜，他自己是镜下的一只赤裸的小虫，无处躲藏。,"As soon as Wang left the Research Center building, the nightmarelike feeling caught up to him. He felt like the starry sky was a magnifying glass that covered the world, and he was a tiny insect below the lens with nowhere to hide.
",-1,-1
43,他又感到了那种难得的温暖。现在，眼前这位历经沧桑变得平静淡泊的老人，和那位无知而无畏的大史，成了他摇摇欲坠的精神世界的两根支柱。," He once again felt the warmth that he had missed. In his current state, his mental stability depended on two pillars: this old woman, who had weathered so many storms and become as gentle as water, and Shi Qiang, the man who feared nothing because he knew nothing.",1,1
44,“说起‘文革’，我还是很幸运的，在活不下去的时候，竟意外地到了一个能活下去的地方。”,"“As far as the Cultural Revolution is concerned, I was pretty lucky. Just when I thought I had nowhere to go, I found a place where I could survive.”
",1,1
45,于是领导指挥向东，他就卖力气地向西，故意装傻，指望领导产生这样的想法：这人也尽力了，但就这么点能力和水平，留他没什么用，反而碍手碍脚的。,"So if the supervisor said to go east, they would work hard to move west, purposely playing the fool. Their hope was to put the following thought into the supervisor’s head: This man is working hard, but he’s limited in his skills. There’s no point in keeping him, because he’ll only get in the way.",0,0
46,进入基地后，叶文洁主要在发射部工作，随着时间的推移，对她的限制渐渐放松，那名时刻陪着她的监视人员也取消了，她可以接触红岸系统的大部分结构，也可以阅读相应的技术资料。,"
Over time, as Ye continued to work at the Transmission Department, the restrictions on her were gradually relaxed, and even the security guard assigned to watch her was called off. She was allowed to touch most components of Red Coast’s systems, and could read the relevant technical documents.",1,1
47,叶文洁恍然大悟。红岸系统虽然只是一台电波发射机，但并不等于它就是个寻常之物，最令她吃惊的是它的发射功率，竟然高达二十五兆瓦！这不仅远大于所有的通讯发射功率，也大于所有的雷达发射功率。,"Ye finally understood. Even though Red Coast was only a radio transmitter, that didn’t mean it was conventional. The most surprising aspect was its transmission power: as high as twenty-five megawatts! This wasn’t just more powerful than all communication transmissions, but also all radar transmissions. ",1,1
48,而是用变化的频率和振幅突破敌人可能进行的屏蔽防护,but to use shifting frequencies and amplitudes to penetrate possible shielding by the enemy.,1,1
49,当然，这些还都在试验中。,"Of course, those are still experimental.",0,0
50,从酒泉发射了两颗靶标卫星,two target satellites were launched from Jiuquan.,0,0
51,红岸系统进行的攻击试验完全成功,The test attacks by Red Coast were completely successful,1,1
52,摧毁了目标，使卫星内部达到了近千度的高温，搭载的仪器和摄影设备全部被破坏。,"emperature inside the satellites reached nearly a thousand degrees, and all instruments and photographic equipment onboard were destroyed. ",-1,-1
53,她转身一看，是杨卫宁，他盯着雷政委，目光很严厉。,"She turned and saw that it was Yang Weining, who stared at Commissar Lei severely.",-1,-1
54,“是他把我带进基地的，可到现在他还是不信任我。”叶文洁悲哀地想,"He’s the one who brought me here, but he still doesn’t trust me, a disconsolate Ye thought.",-1,-1
55,雷志成是叶文洁心目中真正的军人，有着军人的坦诚和直率,"Lei was closer to her image of a real military officer, possessing a soldier’s frank and forthright manners.",1,1
56,而杨卫宁只是一个她见过很多的这个时代典型的知识分子，胆小谨慎，只求自保平安。,"Yang, on the other hand, was nothing more than a typical intellectual of the period: cautious, timid, seeking only to protect himself.",-1,-1
57,但监听部的技术水平比发射部要先进一个层次。,the technology level of the Monitoring Department was far more advanced.,1,1
58,监听部有套十分先进的电波灵敏接收系统,The Monitoring Department had a very sophisticated and sensitive radio receiver.,1,1
59,你提出的预测模型是最准确的,your predictive model turned out to be the most accurate,1,1
60,但你来了后，在技术上表现出了很强的工作能力，所以我们决定让你承担更多、更重要的工作。,"But after you came, you showed very strong abilities, so we decided to give you more responsibilities.",1,1
61,从那名军官的语气和神色中，叶文洁感到了不祥,"From the officer’s tone and expression, Ye knew that something had gone wrong.
",-1,-1
62,但这又意味着叶文洁走出雷达峰的最后一线希望也将不复存在，红岸基地将是她一生最终的归宿。," However, this choice would extinguish the last ray of hope she had of ever leaving Radar Peak. Once she said yes, she really would spend the rest of her life at Red Coast Base.
",-1,-1
63,为了在基地发挥她的才华，必须让她知道红岸工程的真实情况," To make full use of her skills, it was necessary for her to know the truth about Red Coast.",0,0
64,外星文明的接触一旦建立，人类社会将受到什么样的和何种程度的影响，这作为一个严肃的课题被系统深入地研究，还只是近两年的事。,it was only within the last couple of years that serious and systematic consideration had been given to the question of how and to what degree human societies would be influenced by establishing contact with extraterrestrial intelligence,0,0
65,以前天真的理想主义愿望破灭了,"Na?ve, idealistic hopes had been shattered. ",-1,-1
66,学者们发现，与大多数人美好的愿望相反，人类不可能作为一个整体与外星文明接触，这种接触对人类文化产生的效应不是融合而是割裂，对人类不同文明间的冲突不是消解而是加剧,"Scholars found that, contrary to the happy wishes of most people, it was not a good idea for the human race as a whole to make contact with extraterrestrials. The impact of such contact on human society would be divisive rather than uniting, and would exacerbate rather than mitigate the conflicts between different cultures.",-1,-1
67,"目前的地球文明只能大致定为0.7型——连Ⅰ型都未达到，而红岸的发射功率又仅仅是地球能调集的输出功率的千万分之一，这一声呼唤，就像万里长空中的一只蚊子在嗡嗡叫，不会有谁听见的！”
","Civilization on Earth is currently about a Type 0.7, not even a full Type I. And the transmissions from Red Coast used only about one ten-millionth of the amount of power the Earth could muster. Our call was like the buzzing of a mosquito in the sky. No one could hear it.”",0,0
68,可如果那个苏联人所设想的Ⅱ型和Ⅲ型文明真的存在，我们应该能够听到他们的声音,"But if Kardashev’s Type II and Type III civilizations really exist, we should be able to hear them.",0,0
69,对于这个为孤独而伟大的事业贡献了一生的可敬的老人，汪淼想安慰几句，但叶文洁最后一席话使他陷入了同样悲凉的心境，他什么也说不出来。,"Wang wanted to comfort this old woman who had devoted her life to a lonely but great enterprise, but Ye’s last speech caused him to sink into the same sorrowful mood. He found that he had nothing to say",-1,-1
70,叶文洁的双眼盈满了泪水，透过眼泪，屏幕上的代码变成了一团团跳动的火焰。自父亲死后，这是她第一次流泪。,"Ye’s eyes were filled with tears. Seen through them, the code on the screen became flickering flames. This was the first time she had cried since the death of her father.",-1,-1
71,回到家后，为了摆脱这种心绪，他打开电脑，穿上V装具，第三次进入《三体》,"Once he was home, in order to escape this mood, Wang turned on the computer, put on the V-suit, and logged on to Three Body for the third time.
",0,0
72,当登录界面出现时，汪淼像换了一个人似的，心中立刻充满了莫名的兴奋。," By the time the log-in screen appeared, Wang seemed like a different person, one filled with an unexplainable excitement.",1,1
73,登录《三体》后，汪淼又站在那片辽阔的平原上，面对三体世界诡异的黎明。,"Once logged in, Wang again stood on that broad, desolate plain, facing the strange dawn of the world of Three Body.",0,0
74,“嗤！”一个留着上翘山羊胡，比教皇更瘦的人在阴影中发出声音，“东方学者，企图从冥想、顿悟甚至梦游中参透太阳运行的秘密，可笑至极！,"
“Ha!” The sound came from a man with a goatee that curled upward. He was even thinner than the pope. “Eastern scholars tried to understand the secrets of the sun’s motion through meditation, epiphany, or even dreams. Utterly laughable!”
",-1,-1
75,其实很简单：太阳的运行之所以没有规律，是因为我们的世界中有三颗太阳，它们在相互引力的作用下，做着无法预测的三体运动。,It’s actually pretty simple. The reason why the sun’s motion seems patternless is because our world has three suns.,0,0
76,它们在相互引力的作用下，做着无法预测的三体运动。当我们的行星围绕着其中的一颗太阳做稳定运行时，就是恒纪元,"Under the influence of their mutually perturbing gravitational attraction, their movements are unpredictable—the three-body problem. When our planet revolves around one of the suns in a stable orbit, that’s a Stable Era.",0,0
77,当另外一颗或两颗太阳运行到一定距离内，其引力会将行星从它围绕的太阳边夺走，使其在三颗太阳的引力范围内游移不定时，就是乱纪元；一段不确定的时间后，我们的行星再次被某一颗太阳捕获，暂时建立稳定的轨道，恒纪元就又开始了。,"When one or more of the other suns move within a certain distance, their gravitational pull will snatch the planet away from the sun it’s orbiting, causing it to wander unstably through the gravitational fields of the three suns. That’s a Chaotic Era. After an uncertain amount of time, our planet is once again pulled into a temporary orbit and another Stable Era begins.",0,0
78,这是一场宇宙橄榄球赛，运动员是三颗太阳，我们的世界就是球！,"This is a football game at the scale of the universe. The players are the three suns, and our planet is the football.”",0,0
79,首先要说明，我们在不同时间看到的可能并不是同一颗太阳，而是三颗中的一个。另外两颗太阳就是飞星，当它们运行到远距离时，看起来像星星。,"The sun that we see at different times may not be the same: It’s only one of the three suns. When the other two are far away, they look like flying stars.",0,0
80,你缺乏起码的科学训练,You lack basic scientific training,-1,-1
81,‘三日凌空’是三体世界最恐怖的灾难，那时，行星地表会在瞬间变成冶炼炉，高温能够熔化岩石。," Tri-solar days are the most terrifying catastrophes for our world. On such days, the surface of the planet would turn into a smelting furnace in a second, and the heat would be enough to melt rocks.",-1,-1
82,"One civilization saw two suns and was immediately destroyed by their combined heat, but the record was very vague.”",有一个文明见到过两颗太阳，那次文明立刻毁灭于双日的烈焰中，但这记载很模糊。,-1,-1
83,如果你说的是真理，就不会被烧死了,"If you’re telling the truth, then you won’t be burnt to death.",-1,-1
84,汪淼抬头望去，看到三轮巨大的太阳在天空中围绕着一个看不见的原点缓缓地转动着，像一轮巨大的风扇将死亡之风吹向大地。,"Wang looked up and saw three gigantic suns slowly spinning around an invisible origin, like an immense three-bladed fan blowing a deadly wind toward the world below. T",-1,-1
85,给这个已经毁灭的世界带来一次次短暂的日出和日落，日落后灼热的大地发出暗红的光芒，转瞬而来的日出又用平射的强光淹没了一切。,"The giant fan continued to spin, a bright blade occasionally shooting above the horizon to give the dying world another brief sunrise and sunset. After a sunset, the ground glowed dim red, and the sunrise a moment later flooded everything with its glaring, parallel rays.
",-1,-1
86,三日完全落下之后，大地上升腾的水蒸气形成的浓云仍散射着它的光芒，天空在燃烧，呈现出一种令人疯狂的地狱之美,"Once the three suns had completely set, the thick clouds that had formed from all the evaporated water still reflected their glow. The sky burned, displaying a hellish, maddening beauty.
",-1,-1
87,183号文明在“三日凌空”中毁灭了,Civilization Number 183 was destroyed by a tri-solar day,-1,-1
88,但在这次文明中，哥白尼成功地揭示了宇宙的基本结构，三体文明将产生第一次飞跃,"But in this civilization, Copernicus successfully revealed the basic structure of the universe. The civilization of Three Body will take its first leap.",-1,-1
89,“是的，还有其他几十种数学模型，其中一半以上比您这个要高明得多，都被创造出来，并在计算机上完成了计算。,"“Yes. There are dozens of other mathematical models. Of those, more than half are more advanced than yours. They’ve all been implemented and run on computers. ",0,0
90,在过去的两个世纪中，这种巨量的计算是世界的中心活动，人们就像等待最后审判日那样等着结果。”,"During the past two centuries, such massive computation became the principal activity of this world. Everyone waited for the results as if waiting for Judgment Day.”",-1,-1
91,“现在我能做什么？我生活的支柱在哪里？”,“What can I do now? What is the purpose of my life? I,-1,-1
92,我有四十五亿美元和一家跨国石油公司，但这又算得了什么？, have four point five billion dollars and an international oil company. But what good is all that? ,-1,-1
93,人类为了拯救濒危的物种投入的钱肯定超过了四百五十亿，为拯救恶化的生态环境的投入也超过四千五百亿，但有什么用？文明仍按照自己的轨迹毁灭着地球上除人之外的其他生命。,Humans have surely invested more than forty-five billion dollars in saving species near extinction. And probably more than four hundred and fifty billion has already been spent on saving the environment from degradation. But what’s the use? Civilization continues to follow its path of destruction of all life on Earth except humans. ,-1,-1
94,四十五亿够建造一艘航空母舰，但就是建造一千艘航母，也制止不了人类的疯狂。,"Four point five billion is enough to build an aircraft carrier, but even if we build a thousand aircraft carriers, it would be impossible to stop the madness of humanity.”",-1,-1
95,逃脱这种命运的唯一途径是与一名异性结合。这时，构成他们身体的有机物质将融为一体，其中三分之二的物质将成为生化反应的能源，使剩下的三分之一细胞完成彻底的更新，生成一个全新的躯体；之后这个躯体将发生分裂，裂解为三至五个新的幼小生命，这就是他们的孩子，他们将继承父母的部分记忆，成为他们生命的延续，重新开始新的人生。,"The only way to escape this fate was to mate with a member of the opposite sex. When that happened, the organic material making up their bodies would meld into one. Two-thirds of the material would then become fuel to power the biochemical reaction that would completely renew the cells in the remaining one-third and create a new body. Then this body would divide into three to five tiny new lives: their children. They would inherit some of the memories of their parents, continue their lives, and begin the cycle of life anew. ",0,0
96,但以监听员卑微的社会地位，孤独封闭的工作环境，又到了这个年纪，能有哪个异性看得上自己呢？,"But given the listener’s low social position, lonely and enclosed workspace, and advanced age, what member of the opposite sex would be interested in him?",-1,-1
97,过滤嘴中的海绵或活性炭是三维体，它们的吸附面则是二维的，由此可见，一个微小的高维结构可以存储何等巨量的低维结构。,"“The sponge or active charcoal inside a filter is three-dimensional. Their adsorbent surfaces, however, are two-dimensional. Thus, you can see how a tiny high-dimensional structure can contain a huge low-dimensional structure. ”",0,0
98,但在宏观世界，高维空间对低维空间的容纳也就到此为止了，因为上帝很吝啬，在创世大爆炸中只给了宏观宇宙三个维度。,"But at the macroscopic level, this is about the limit of the ability for high-dimensional space to contain low-dimensional space. Because God was stingy, during the big bang He only provided the macroscopic world with three spatial dimensions, plus the dimension of time.",-1,-1
99,但这不等于更高的维度不存在，有多达八个维度被禁锢在微观中，加上宏观的三维，在基本粒子中，存在着十一维的空间。," But this doesn’t mean that higher dimensions don’t exist. Up to seven additional dimensions are locked within the micro scale, or, more precisely, within the quantum realm. And added to the four dimensions at the macro scale, fundamental particles exist within an eleven-dimensional space-time.",0,0
100,“三天后，也就是十四日，在凌晨一点钟至五点钟，整个宇宙将为你闪烁。”,"“Three days from now—that’s the fourteenth—between one and five in the morning, the entire universe will flicker for you.”",0,0
101,人类社会正在努力解决自己面临的各种困难和问题，努力为地球文明创造一个美好的未来。发,"Human societies are working hard to resolve the difficulties and problems they face, striving to create a better future for Earth civilization. ",1,1
102,送该信息的国家所从事的事业就是这种努力的一部分。,The country that sent this message is engaged in this effort. ,0,0
103,我们致力于建立一个理想的社会，使每个人类成员的劳动和价值都得到充分的尊重，使所有人的物质和精神需要都得到充分的满足，使地球文明成为一个更加完美的文明。,"We are dedicated to building an ideal society, where the labor and value of every member of the human race are fully respected, where everyone’s material and spiritual needs are fully met, so that civilization on Earth may become more perfect.",1,1
104,“是的，文明只能在较长的气候温暖的恒纪元里发展。大部分时间里，人类集体脱水存贮起来，当较长的恒纪元到来时，再集体浸泡复活，生产和建设。”,"“Yes. Civilization can only develop in the mild climate of Stable Eras. Most of the time, humankind must collectively dehydrate and be stored. When a long Stable Era arrives, they collectively revive through rehydration. Then they proceed to build and produce.”",0,0
105,“麦克，这就是我想对你说的，人类文明已经不可能靠自身的力量来改善了。”,"“Mike, this is what I wanted to tell you. Human civilization is no longer capable of improving by its own strength.”",-1,-1
106,“审判日”号出现了，在从侧面山脊上照过来的落日光芒中，它是河面一片金波上的一个黑色剪影。,"Judgment Day appeared. In the light from the setting sun coming over the hills to the side, it was a dark silhouette against the golden waves of the canal. ",0,0
107,这艘六万吨级的巨轮比汪淼想象的要大得多，它出现时，仿佛西边又突现了一座山峰，虽然汪淼知道运河可以通过七万吨级的船舶，但目睹这样的巨轮在如此窄小的河道中行驶，确实有一种奇怪的感觉。,"The sixty-thousand-ton ship was much larger than Wang had imagined. Its appearance was like another peak abruptly inserted among the hills. Even though Wang knew that the canal was capable of accommodating ships as large as seventy thousand tons, witnessing such a large ship in such a narrow waterway was a strange feeling.",0,0
